Line 2 x,Line 2 y
2.752087234330E10,5.670198319429E0
2.786797405487E10,5.275221190298E0
2.821997657532E10,5.027309520468E0
2.857613100874E10,4.727413778185E0
2.857483631002E10,4.457311647810E0
2.893523093949E10,4.146822303502E0
2.930071406361E10,3.951940306205E0
2.967050810608E10,3.716193916061E0
2.966916382442E10,3.503868120031E0
2.985484583722E10,3.259794157721E0
3.023194468773E10,3.106598493731E0
3.042114881811E10,2.890197711026E0
3.042002112087E10,2.754371417714E0
3.041889346544E10,2.624928349288E0
3.041776585182E10,2.501568522888E0
3.060813292861E10,2.327313179806E0
3.099474660622E10,2.217939927802E0
3.138624363089E10,2.113706726719E0
3.158267184593E10,1.966469228538E0
3.158150109160E10,1.874054019292E0
3.118467832880E10,1.743510353149E0
3.079398317714E10,1.702048792223E0
3.040761920998E10,1.622060154214E0
3.040649201428E10,1.545830622429E0
3.040536486037E10,1.473183535785E0
3.040423774824E10,1.403950535471E0
3.040311067789E10,1.337971174786E0
3.040198364932E10,1.275092547301E0
3.002053799661E10,1.215168932502E0
2.964387824168E10,1.158061458082E0
2.937503068047E10,1.130522168962E0
2.890521274505E10,1.077392711717E0
2.854254668124E10,1.026760100005E0
2.818443089267E10,9.785069933151E-1
2.783080828824E10,9.325215656142E-1
2.748162249315E10,8.886972461887E-1
2.713732082825E10,8.675635747133E-1
2.679683603701E10,8.267919887016E-1
2.646062321845E10,7.879364838561E-1
2.622064537337E10,7.691989544390E-1
2.580127799947E10,7.330500631703E-1
2.547755618445E10,6.986000072061E-1
2.515836232994E10,6.819869445368E-1
2.484270700788E10,6.499366254841E-1
2.461740243948E10,6.344808027259E-1
2.422367698893E10,6.046630586722E-1
2.392019227586E10,5.902838643064E-1
2.362007194619E10,5.625431775760E-1
2.340585575333E10,5.491656153560E-1
2.303150752043E10,5.233573013906E-1
2.274295882261E10,5.109115991908E-1
2.253669738258E10,4.987618621048E-1
2.217666132494E10,4.869010519319E-1
2.176141284752E10,4.753222978436E-1
2.135393971984E10,4.640188924030E-1
2.095409635181E10,4.529842876797E-1
2.056173987947E10,4.422120914560E-1
2.037526044598E10,4.316960635249E-1
2.004938290391E10,4.114082901583E-1
1.979819555441E10,4.016247922530E-1
1.942748282903E10,3.920739508925E-1
1.906371154052E10,3.827502333861E-1
1.870675171346E10,3.736482386131E-1
1.835647580616E10,3.647626938946E-1
1.801275866507E10,3.560884519384E-1
1.778741671432E10,3.560884519384E-1
1.745435496081E10,3.476204878576E-1
1.712752964586E10,3.393538962596E-1
1.691326202513E10,3.393538962596E-1
1.659656844347E10,3.312838884046E-1
1.628580481338E10,3.234057894315E-1
1.598086009906E10,3.157150356496E-1
1.568162534380E10,3.082071718952E-1
1.548544617370E10,3.082071718952E-1
1.529172123051E10,3.082071718952E-1
1.500539030517E10,3.008778489507E-1
1.472442080367E10,2.937228210250E-1
1.454021638672E10,2.937228210250E-1
1.426795706745E10,2.867379432941E-1
1.400079568723E10,2.799191695001E-1
1.382564391448E10,2.799191695001E-1
1.365268331316E10,2.799191695001E-1
1.339704267025E10,2.732625496071E-1
1.314618878881E10,2.667642275129E-1
1.298172825937E10,2.667642275129E-1
1.273865096225E10,2.604204388157E-1
1.250012518333E10,2.542275086327E-1
1.234374699352E10,2.542275086327E-1
1.218932511518E10,2.542275086327E-1
1.196108522727E10,2.481818494721E-1
1.173711903343E10,2.422799591541E-1
1.159028614968E10,2.422799591541E-1
1.144529016437E10,2.422799591541E-1
1.130210809767E10,2.422799591541E-1
1.116071725722E10,2.422799591541E-1
1.095173761055E10,2.365184187827E-1
1.074667101819E10,2.308938907650E-1
1.061222876776E10,2.308938907650E-1
1.047946840735E10,2.308938907650E-1
1.034836889629E10,2.308938907650E-1
1.021890945714E10,2.308938907650E-1
1.002756475783E10,2.254031168777E-1
9.839802905990E9,2.200429163797E-1
9.716705693447E9,2.200429163797E-1
9.595148443022E9,2.200429163797E-1
9.475111889591E9,2.200429163797E-1
9.356577009036E9,2.200429163797E-1
9.239525015235E9,2.200429163797E-1
9.066518869788E9,2.148101841694E-1
8.896752190257E9,2.097018889865E-1
8.785452664670E9,2.097018889865E-1
8.675545510605E9,2.097018889865E-1
8.567013309315E9,2.097018889865E-1
8.459838859961E9,2.097018889865E-1
8.354005176891E9,2.097018889865E-1
8.249495486943E9,2.097018889865E-1
8.146293226793E9,2.097018889865E-1
8.044382040323E9,2.097018889865E-1
7.893754434791E9,2.047150716551E-1
7.745947266607E9,1.998468433704E-1
